timestamp,cpu_avg,cpu_max,ram_avg,ram_max,bytes_sent_avg,bytes_recv_avg,unique_dst_ips_count,unique_dst_ports_count,active_connections_max,process_count_avg,disk_read_bytes_total,disk_write_bytes_total,top_cpu_processes,top_ram_processes,failed_logins,successful_logins,process_creations,service_installations,unique_users_count,unique_processes_count
2026-07-25T04:05:38.497763,34.5,37.3,84.38333333333334,84.4,55.51558642959292,74.62843821839873,7,3,57,213,311296,8550400,"('msedge.exe', 0.3)","('SearchHost.exe', 1.0731666554114292)",0,699,0,0,2,0
2026-07-25T04:06:39.236740,33.0,38.6,83.34,84.6,73.55591972922468,201.7558858059146,7,3,53,213,16765952,18721280,"('python.exe', 0.4)","('SearchHost.exe', 1.0731666554114292)",0,555,0,0,1,0
2026-07-25T04:07:39.547070,32.059999999999995,35.3,81.94,82.1,65.07110123189744,77.16120432303525,11,4,57,213,167936,10805760,"('services.exe', 0.1)","('SearchHost.exe', 1.0732152391705587)",0,530,0,0,1,0
2026-07-25T04:08:39.746664,32.980000000000004,35.8,82.08,82.1,29.15059525594374,32.904297515834386,10,4,56,212,757760,11589120,"('services.exe', 0.1)","('SearchHost.exe', 1.0731666554114292)",0,505,0,0,1,0
2026-07-25T04:09:40.307642,34.58,39.0,82.6,82.8,140.83851978791944,120.91956701902015,11,4,57,212,700416,10016768,"('msedge.exe', 0.3)","('SearchHost.exe', 1.0728751528566522)",0,480,0,0,1,0
2026-07-25T04:10:52.143375,33.56666666666667,35.2,82.83333333333333,82.9,20.55233820394614,40.05690820930504,10,4,52,212,65536,11059712,"('svchost.exe', 0.1)","('SearchHost.exe', 1.0732152391705587)",0,543,0,0,1,0
2026-07-25T04:11:52.720556,34.160000000000004,45.9,84.25999999999999,84.7,117.0425565613012,389.77985840935344,6,3,52,214,153851392,15968256,"('msedge.exe', 0.3)","('Notepad.exe', 1.437399097605258)",0,429,0,0,1,0
2026-07-25T04:13:04.531587,32.449999999999996,35.1,84.76666666666667,84.9,173.73053886109508,313.3753992610575,6,3,52,217,1118208,17482752,"('Notion.exe', 0.4)","('Notepad.exe', 1.437399097605258)",0,489,0,0,1,0
2026-07-25T04:14:16.273780,33.61666666666667,38.3,84.9,84.9,138.51186216864713,268.36609227926493,6,3,52,216,868352,14082048,"('Notion.exe', 0.4)","('Notepad.exe', 1.437399097605258)",0,459,0,0,1,0
2026-07-25T04:15:27.999043,34.4,35.7,84.85000000000001,84.9,23.800749167440973,30.264051475458263,5,3,52,216,442368,11928576,"('Notion.exe', 0.3)","('Notepad.exe', 1.437496265123517)",0,423,0,0,1,0
2026-07-25T04:16:39.761500,32.38333333333333,35.4,84.86666666666667,84.9,26.491498932148904,40.69123426059615,6,3,52,219,925696,13565440,"('msedge.exe', 0.3)","('Notepad.exe', 1.437496265123517)",0,387,0,0,1,0
2026-07-25T04:17:40.004264,32.12,35.4,84.8,84.9,33.90725732263407,28.73732422623683,6,3,52,214,151552,12499456,"('Skrinshoter.exe', 0.3)","('Notepad.exe', 1.437496265123517)",0,295,0,0,1,0
2026-07-25T04:18:40.290634,33.2,36.3,84.74,84.8,38.777857395103304,39.167263611098385,5,3,51,214,450560,13238272,"('svchost.exe', 0.1)","('Notepad.exe', 1.437496265123517)",0,270,0,0,1,0
2026-07-25T04:19:40.345441,33.120000000000005,35.0,84.7,84.7,175.4644224777435,166.60001407251713,5,3,51,214,131072,9751552,"('svchost.exe', 0.3)","('Notepad.exe', 1.437496265123517)",0,245,0,0,1,0
2026-07-25T04:20:40.625646,35.36,38.1,84.78,84.8,27.77952524367621,27.905632901742287,5,3,50,214,389120,11339264,"('python.exe', 0.4)","('Notepad.exe', 1.437496265123517)",0,220,0,0,1,0
2026-07-25T04:21:52.558893,32.016666666666666,34.5,83.88333333333334,84.9,954.015117862742,260.95856228434707,5,3,50,214,819712,9880064,"('conhost.exe', 0.1)","('Notepad.exe', 1.437496265123517)",0,231,0,0,1,0
2026-07-25T04:23:04.346574,31.666666666666668,34.5,83.46666666666665,83.6,252.46288131921722,253.00762606383054,5,3,51,213,516096,15802880,"('Notion.exe', 0.3)","('Notepad.exe', 1.437496265123517)",0,195,0,0,1,0
2026-07-25T04:24:16.237143,33.4,36.7,84.08333333333333,84.1,263.98077387109396,168.81978323593214,6,4,52,213,654848,11891200,"('MsMpEng.exe', 0.4)","('Notepad.exe', 1.437399097605258)",0,159,0,0,1,0
2026-07-25T04:25:27.966004,34.31666666666667,38.2,84.71666666666667,84.8,138.0611936022532,137.95509347761995,6,4,52,213,188416,10821632,"('python.exe', 0.4)","('Notepad.exe', 1.437399097605258)",0,123,0,0,1,0
2026-07-25T04:26:39.700924,32.68333333333333,37.3,84.86666666666667,84.9,257.1677826210933,158.78268787962145,6,4,51,213,892928,11137024,"('Notion.exe', 0.1)","('Notepad.exe', 1.437399097605258)",0,87,0,0,1,0
2026-07-25T04:27:39.834119,33.3,39.6,85.22,85.5,186.11975053974632,228.69517624139706,5,3,51,216,9924608,12341760,"('dwm.exe', 0.1)","('Notepad.exe', 1.437399097605258)",0,51,0,0,1,0
2026-07-25T04:28:40.034015,32.54,34.8,85.53999999999999,85.6,104.32897500153274,113.21575098866973,5,3,51,216,495616,12296704,"('Notion.exe', 0.3)","('Notepad.exe', 1.437496265123517)",0,35,0,0,1,0
2026-07-25T04:29:40.268314,33.0,36.0,85.66,85.7,192.63240461538996,178.29731157669153,5,3,51,216,106496,9971200,"('Notion.exe', 0.4)","('Notepad.exe', 1.437496265123517)",0,10,0,0,1,0
2026-07-25T04:30:40.325748,34.42,37.0,85.78,85.8,128.2837964171862,105.32182365968092,5,3,51,216,110592,9971200,"('System', 0.1)","('Notepad.exe', 1.437496265123517)",0,0,0,0,0,0
2026-07-25T04:31:40.506819,33.2,36.8,85.82000000000001,85.9,147.04792268927912,130.51013676385736,5,3,51,215,311296,9864192,"('services.exe', 0.1)","('Notepad.exe', 1.437496265123517)",0,0,0,0,0,0
2026-07-25T04:32:40.590464,32.0,35.1,85.88000000000001,85.9,213.57115002748114,141.90519521739708,5,3,51,214,94208,9875968,"('Notion.exe', 0.4)","('Notepad.exe', 1.437496265123517)",0,0,0,0,0,0
2026-07-25T04:33:41.427580,33.739999999999995,37.8,86.0,86.1,208.04653532679254,127.29617796713167,5,3,51,215,475136,10086912,"('svchost.exe', 0.1)","('Notepad.exe', 1.437496265123517)",0,0,0,0,0,0
2026-07-25T04:34:53.193574,33.53333333333333,35.9,86.45,86.5,418.3538694609308,2194.1200287765164,6,3,56,214,4827136,13203968,"('csrss.exe', 0.1)","('Notepad.exe', 1.4378363514374235)",0,0,0,0,0,0
2026-07-25T04:36:05.018193,34.416666666666664,36.1,86.31666666666666,86.4,126.05048408895634,113.50833141602733,6,3,56,214,1881088,11113472,"('csrss.exe', 0.3)","('Notepad.exe', 1.4378363514374235)",0,0,0,0,0,0
2026-07-25T04:37:16.846442,32.31666666666667,36.9,84.3,86.3,177.96145922528626,268.66062935850374,6,3,52,214,253952,11657216,"('python.exe', 0.3)","('Notepad.exe', 1.4378363514374235)",0,0,0,0,0,0
2026-07-25T04:38:28.618755,31.599999999999998,34.4,84.33333333333333,84.4,165.6041082663642,151.1488576169094,6,3,52,212,102400,8985088,"('PhoneExperienceHost.exe', 0.3)","('Notepad.exe', 1.4378363514374235)",0,0,0,0,0,0
2026-07-25T04:39:40.425709,32.983333333333334,34.6,84.4,84.4,231.5817447994756,348.9476402064329,7,3,53,213,1581056,12352512,"('msedge.exe', 0.3)","('Notepad.exe', 1.4378363514374235)",0,0,0,0,0,0
2026-07-25T04:40:40.745522,34.2,36.6,84.72,84.8,132.26383949078007,110.74197807941589,7,3,52,213,435200,11026944,"('msedge.exe', 0.5)","('Notepad.exe', 1.4378363514374235)",0,0,0,0,0,0
2026-07-25T04:41:41.052189,34.44,39.6,84.75999999999999,84.8,127.86232581514537,109.16542310103019,6,3,52,213,167936,16410112,"('Notepad.exe', 0.1)","('Notepad.exe', 1.4378363514374235)",0,0,0,0,0,0
2026-07-25T04:42:41.227511,31.880000000000003,34.2,84.94,85.0,270.8647101458405,337.996131333633,7,3,53,215,204800,10127872,"('MsMpEng.exe', 0.3)","('Notepad.exe', 1.4378363514374235)",0,0,0,0,0,0
2026-07-25T04:43:41.476204,32.68,35.0,85.12,85.2,298.9781124907473,246.32449386288144,7,3,50,215,417792,11813376,"('Skrinshoter.exe', 0.4)","('Notepad.exe', 1.4378363514374235)",0,1,0,0,1,0
2026-07-25T04:44:41.940182,34.14,38.7,85.36,85.6,461.04590677020434,872.4992037358215,7,3,53,219,10450432,9891840,"('System', 0.1)","('Notepad.exe', 1.4378363514374235)",0,3,0,0,1,0
2026-07-25T04:45:42.234941,34.5,37.7,86.14,86.3,182.66435283379843,158.24714625890306,7,3,53,217,487424,10356224,"('conhost.exe', 0.3)","('Notepad.exe', 1.4382736052695888)",0,0,0,0,0,0
2026-07-25T04:46:53.927861,33.800000000000004,36.4,86.23333333333333,86.4,142.22595496812386,188.075600774569,7,3,52,216,737792,9820160,"('msedge.exe', 0.3)","('Notepad.exe', 1.4382736052695888)",0,0,0,0,0,0
2026-07-25T04:48:05.640260,31.266666666666666,33.9,86.21666666666665,86.3,163.77135032916172,150.5750733674785,5,3,51,215,249856,11614720,"('svchost.exe', 0.3)","('Notepad.exe', 1.4378849351965528)",0,0,0,0,0,0
2026-07-25T04:49:17.282720,32.03333333333333,34.5,86.26666666666667,86.3,144.09258609777652,139.77466487270223,5,3,51,215,430080,11089408,"('powershell.exe', 0.3)","('Notepad.exe', 1.4378849351965528)",0,0,0,0,0,0
2026-07-25T04:50:28.949117,32.88333333333333,35.5,86.18333333333334,86.2,165.00569376948508,149.4831840463247,5,3,51,214,126976,10117632,"('dwm.exe', 0.3)","('Notepad.exe', 1.4378849351965528)",0,0,0,0,0,0
